tagid,survey_name,CAMM_1,CAMM_10,CAMM_2,CAMM_3,CAMM_4,CAMM_5,CAMM_6,CAMM_7,CAMM_8,CAMM_9,survey_type,survey_date,CAMM_N,CAMM_missing,CAMM_missing_perc,CAMM_mean,CAMM_W3,wave
TAG078,W3 Home Qs - Current V4,1,1,1,3,2,2,1,2,2,2,Home,11/11/19,10,0,0,1.7,17,W3
TAG084,W3 Home Qs - V3,4,4,2,4,3,1,3,2,1,3,Home,7/22/19,10,0,0,2.7,27,W3
TAG085,W3 Home Qs - V3,1,3,0,1,1,2,2,2,2,1,Home,8/14/19,10,0,0,1.5,15,W3
TAG086,W3 Home Qs - V3,3,3,1,1,2,2,2,2,2,3,Home,7/22/19,10,0,0,2.1,21,W3
TAG088,W3 Home Qs - Current V4,4,3,4,4,4,3,4,4,3,4,Home,11/7/19,10,0,0,3.7,37,W3
TAG090,W3 Home Qs - V3,1,3,2,2,1,2,3,1,1,1,Home,8/3/19,10,0,0,1.7,17,W3
TAG094,W3 Home Qs - V3,3,2,2,3,3,3,3,3,2,2,Home,6/21/19,10,0,0,2.6,26,W3
TAG100,W3 Home Qs - Current V4,2,1,2,3,2,3,4,2,3,4,Home,12/12/19,10,0,0,2.6,26,W3
TAG104,W3 Home Qs - V3,0,2,1,1,0,3,2,1,1,1,Home,10/11/19,10,0,0,1.2,12,W3
TAG119,W3 Home Qs - V3,0,1,1,2,1,1,1,1,0,1,Home,10/21/19,10,0,0,0.9,9,W3
TAG138,W3 Home Qs - Current V4,1,2,2,1,3,2,2,2,3,1,Home,11/15/19,10,0,0,1.9,19,W3
TAG140,W3 Home Qs - Current V4,1,3,3,2,2,2,2,2,1,3,Home,11/1/19,10,0,0,2.1,21,W3
TAG149,W3 Home Qs - V3,3,2,4,4,3,1,3,3,2,2,Home,7/27/19,10,0,0,2.7,27,W3
TAG159,W3 Home Qs - V3,3,3,2,0,0,3,3,0,2,4,Home,8/10/19,10,0,0,2,20,W3
TAG160,W3 Home Qs - V3,3,3,3,3,2,2,3,3,2,2,Home,9/16/19,10,0,0,2.6,26,W3
TAG164,W3 Home Qs - V3,2,3,2,2,2,2,2,2,2,2,Home,8/28/19,10,0,0,2.1,21,W3
TAG177,W3 Home Qs - Current V4,3,2,2,2,3,2,1,2,2,2,Home,11/14/19,10,0,0,2.1,21,W3
TAG181,W3 Home Qs - V3,0,1,1,1,1,2,1,1,0,1,Home,10/8/19,10,0,0,0.9,9,W3
