tagid,survey_name,CAMM_1,CAMM_10,CAMM_2,CAMM_3,CAMM_4,CAMM_5,CAMM_6,CAMM_7,CAMM_8,CAMM_9,survey_type,survey_date,CAMM_N,CAMM_missing,CAMM_missing_perc,CAMM_mean,CAMM_W2,wave
TAG001,W2 Home Qs - Current V1,4,3,4,3,3,3,3,4,2,3,Home,8/24/17,10,0,0,3.2,32,W2
TAG002,W2 Home Qs - Current V1,2,3,3,4,4,3,3,4,3,3,Home,9/6/17,10,0,0,3.2,32,W2
TAG003,W2 Home Qs - Current V1,3,3,3,2,3,2,3,3,2,3,Home,3/10/18,10,0,0,2.7,27,W2
TAG004,W2 - Home Qs - Current V1 IN LAB,2,4,4,1,2,3,2,3,2,3,Home,8/7/17,10,0,0,2.6,26,W2
TAG005,W2 Home Qs - Current V1,4,4,4,4,4,4,4,4,3,4,Home,5/22/18,10,0,0,3.9,39,W2
TAG007,W2 Home Qs - Current V1,3,2,2,3,3,3,2,2,3,3,Home,2/13/18,10,0,0,2.6,26,W2
TAG009,W2 Home Qs - Current V1,1,3,4,3,2,2,0,1,0,2,Home,5/20/18,10,0,0,1.8,18,W2
TAG010,W2 Home Qs - Current V1,3,3,3,3,3,3,3,3,2,3,Home,2/21/18,10,0,0,2.9,29,W2
TAG014,W2 Home Qs - Current V1,3,3,3,2,2,2,2,2,3,3,Home,8/10/18,10,0,0,2.5,25,W2
TAG015,W2 Home Qs - Current V1,3,3,2,3,3,3,2,3,2,3,Home,4/21/18,10,0,0,2.7,27,W2
TAG016,W2 Home Qs - Current V1,3,2,2,4,3,1,4,2,4,3,Home,10/13/17,10,0,0,2.8,28,W2
TAG019,W2 Home Qs - Current V1,2,2,1,2,3,2,3,3,1,3,Home,10/8/17,10,0,0,2.2,22,W2
TAG020,W2 Home Qs - Current V1,3,2,2,2,2,2,3,3,2,3,Home,9/15/17,10,0,0,2.4,24,W2
TAG022,W2 Home Qs - Current V1,3,3,3,4,3,2,3,3,2,4,Home,8/30/17,10,0,0,3,30,W2
TAG026,W2 Home Qs - Current V1,3,3,3,3,2,2,4,2,1,2,Home,8/9/17,10,0,0,2.5,25,W2
TAG027,W2 Home Qs - Current V1,2,3,2,3,2,3,1,2,2,3,Home,1/17/18,10,0,0,2.3,23,W2
TAG028,W2 Home Qs - Current V1,1,2,4,2,2,2,1,2,2,2,Home,2/16/18,10,0,0,2,20,W2
TAG030,W2 Home Qs - Current V1,4,3,3,3,3,2,2,4,3,3,Home,8/22/17,10,0,0,3,30,W2
TAG032,W2 Home Qs - Current V1,1,1,1,1,1,1,1,1,1,1,Home,2/8/18,10,0,0,1,10,W2
TAG033,W2 Home Qs - Current V1,1,2,2,1,1,2,2,1,1,1,Home,9/15/17,10,0,0,1.4,14,W2
TAG034,W2 Home Qs - Current V1,1,2,3,1,1,3,1,1,1,2,Home,10/7/17,10,0,0,1.6,16,W2
TAG036,W2 Home Qs - Current V1,3,1,3,4,4,1,2,4,2,4,Home,2/15/18,10,0,0,2.8,28,W2
TAG037,W2 Home Qs - Current V1,4,4,2,4,4,3,4,4,2,4,Home,10/24/17,10,0,0,3.5,35,W2
TAG038,W2 Home Qs - Current V1,4,4,4,4,0,2,2,3,3,4,Home,3/23/18,10,0,0,3,30,W2
TAG040,W2 Home Qs - Current V1,4,3,4,4,2,3,3,2,3,3,Home,4/20/18,10,0,0,3.1,31,W2
TAG041,W2 Home Qs - Current V1,4,3,4,3,3,3,4,4,4,4,Home,12/16/17,10,0,0,3.6,36,W2
TAG042,W2 Home Qs - Current V1,3,3,4,3,2,2,4,4,0,4,Home,2/14/18,10,0,0,2.9,29,W2
TAG044,W2 Home Qs - Current V1,1,2,2,1,3,2,2,1,1,1,Home,11/10/17,10,0,0,1.6,16,W2
TAG045,W2 Home Qs - Current V1,4,4,4,4,4,4,4,4,2,4,Home,12/3/17,10,0,0,3.8,38,W2
